pokemon_id,move_id,pokemon_move_method_id,level,order
1,14,4,0,
1,22,1,9,
1,33,1,1,
1,36,1,15,
1,38,1,27,
1,45,1,3,
1,73,1,7,
1,74,1,25,
1,75,1,19,
1,76,4,0,
1,77,1,13,1
1,79,1,13,2
1,80,2,0,
1,92,4,0,
1,104,4,0,
1,113,4,0,
1,124,2,0,
1,130,2,0,
1,133,2,0,
1,156,4,0,
1,164,4,0,
1,174,2,0,
1,182,4,0,
1,188,4,0,
1,202,2,0,
1,203,2,0,
1,204,2,0,
1,207,4,0,
1,213,4,0,
1,214,4,0,
1,216,4,0,
1,218,4,0,
1,219,4,0,
1,230,1,21,
1,235,1,33,
1,237,4,0,
1,241,4,0,
1,263,4,0,
1,267,2,0,
1,275,2,0,
1,320,2,0,
1,345,2,0,
1,388,1,31,
1,402,1,37,
1,412,4,0,
1,437,2,0,
1,438,2,0,
1,447,4,0,
1,474,4,0,
1,496,4,0,
1,497,4,0,
1,520,3,0,
1,526,4,0,
1,580,2,0,
1,590,4,0,
2,14,4,0,
2,22,1,9,
2,33,1,1,1
2,36,1,15,
2,38,1,31,
2,45,1,1,2
2,73,1,1,3
2,74,1,28,
2,75,1,20,
2,76,1,44,
2,77,1,13,1
2,79,1,13,2
2,92,4,0,
2,104,4,0,
2,113,4,0,
2,156,4,0,
2,164,4,0,
2,182,4,0,
2,188,4,0,
2,207,4,0,
2,213,4,0,
2,214,4,0,
2,216,4,0,
2,218,4,0,
2,219,4,0,
2,230,1,23,
2,235,1,39,
2,237,4,0,
2,241,4,0,
2,263,4,0,
2,267,4,0,
2,388,1,36,
2,412,4,0,
2,447,4,0,
2,474,4,0,
2,496,4,0,
2,497,4,0,
2,520,3,0,
2,526,4,0,
2,590,4,0,
3,14,4,0,
3,22,1,1,5
3,33,1,1,2
3,36,1,15,
3,38,1,31,
3,45,1,1,3
3,46,4,0,
3,63,4,0,
3,73,1,1,4
3,74,1,28,
3,75,1,20,
3,76,1,53,
3,77,1,13,1
3,79,1,13,2
3,80,1,0,
3,89,4,0,
3,92,4,0,
3,104,4,0,
3,113,4,0,
3,156,4,0,
3,164,4,0,
3,182,4,0,
3,188,4,0,
3,207,4,0,
3,213,4,0,
3,214,4,0,
3,216,4,0,
3,218,4,0,
3,219,4,0,
3,230,1,23,
3,235,1,45,
3,237,4,0,
3,241,4,0,
3,263,4,0,
3,267,4,0,
3,338,3,0,
3,388,1,39,
3,412,4,0,
3,416,4,0,
3,447,4,0,
3,474,4,0,
3,496,4,0,
3,497,4,0,
3,520,3,0,
3,523,4,0,
3,526,4,0,
3,572,1,50,
3,590,4,0,
4,10,1,1,1
4,14,4,0,
4,44,2,0,
4,45,1,1,2
4,52,1,7,
4,53,1,37,
4,68,2,0,
4,82,1,16,
4,83,1,43,
4,92,4,0,
4,104,4,0,
4,108,1,10,
4,126,4,0,
4,156,4,0,
4,157,4,0,
4,163,1,34,
4,164,4,0,
4,182,4,0,
4,184,1,19,
4,187,2,0,
4,200,2,0,
4,207,4,0,
4,213,4,0,
4,214,4,0,
4,216,4,0,
4,218,4,0,
4,232,2,0,
4,237,4,0,
4,241,4,0,
4,242,2,0,
4,246,2,0,
4,251,2,0,
4,261,4,0,
4,263,4,0,
4,264,2,0,
4,280,4,0,
4,314,2,0,
4,315,4,0,
4,317,4,0,
4,332,4,0,
4,337,4,0,
4,349,2,0,
4,374,4,0,
4,394,2,0,
4,406,2,0,
4,407,2,0,
4,421,4,0,
4,424,1,25,
4,481,1,28,
4,488,4,0,
4,496,4,0,
4,497,4,0,
4,517,1,46,
4,519,3,0,
4,526,4,0,
4,590,4,0,
5,10,1,1,1
5,14,4,0,
5,45,1,1,2
5,52,1,1,3
5,53,1,43,
5,82,1,17,
